orden,objectid,iddist,iddpto,idprov,nombdist,IPI2007,IPI2008,IPI2009,IPI2010
842,808,150101,15,1501,LIMA,52.35417154,50.67296035,40.9238203,48.53209274
852,818,150103,15,1501,ATE,52.19174075,51.56839449,42.56295851,48.43351338
794,760,150104,15,1501,BARRANCO,71.77161029,77.04369248,57.21550552,
832,798,150105,15,1501,BREÐA,56.98100171,42.07656648,46.47939894,43.78582364
933,899,150106,15,1501,CARABAYLLO,50.44987348,57.66297874,41.04784522,40.04322475
791,757,150108,15,1501,CHORRILLOS,68.63649012,59.23490686,40.79279196,63.59901212
880,846,150110,15,1501,COMAS,42.1719466,69.40590511,41.46402675,53.99775793
846,812,150111,15,1501,EL AGUSTINO,48.74735549,43.37854558,,51.63790882
860,826,150112,15,1501,INDEPENDENCIA,51.94742439,61.91247644,43.01213497,52.82952646
821,787,150113,15,1501,JESUS MARIA,63.37645278,54.33849481,60.57539561,
830,796,150114,15,1501,LA MOLINA,,78.53576499,43.41391073,70.83301228
829,795,150115,15,1501,LA VICTORIA,58.70216246,44.75727383,45.31940478,19.62281537
815,781,150116,15,1501,LINCE,48.90957348,53.21760606,44.67885763,
872,838,150117,15,1501,LOS OLIVOS,56.90318475,54.39186095,48.82832649,63.72944315
812,778,150120,15,1501,MAGDALENA DEL MAR,60.9411314,77.95883324,48.32658319,
819,785,150121,15,1501,MAGDALENA VIEJA,76.43547738,49.2158327,42.74625516,
802,768,150122,15,1501,MIRAFLORES,82.9838728,73.70037121,43.81899606,54.31183468
902,868,150125,15,1501,PUENTE PIEDRA,73.54720229,71.32722711,49.14743163,79.15657354
850,816,150128,15,1501,RIMAC,54.72856709,47.00538763,51.15209091,53.46238931
814,780,150130,15,1501,SAN BORJA,83.66306166,95.00027666,47.0128524,
811,777,150131,15,1501,SAN ISIDRO,,87.78881642,,67.4422011
889,855,150132,15,1501,SAN JUAN DE LURIGANCHO,55.80733811,51.44389399,46.40479053,44.3450547
797,763,150133,15,1501,SAN JUAN DE MIRAFLORES,65.71805332,46.66679005,47.84495625,44.28935053
867,833,150135,15,1501,SAN MARTIN DE PORRES,52.94163878,52.77478644,46.8569825,51.08866396
825,791,150136,15,1501,SAN MIGUEL,67.70412344,72.31854898,44.69929998,75.52054056
844,810,150137,15,1501,SANTA ANITA,61.61390908,56.12679469,47.21532764,43.26690616
816,782,150140,15,1501,SANTIAGO DE SURCO,93.1080772,81.6320194,36.50632061,66.93797079
805,771,150141,15,1501,SURQUILLO,47.68204918,45.53518297,31.31631628,83.06625499
784,750,150142,15,1501,VILLA EL SALVADOR,48.44558502,53.3246562,44.73576525,44.83217958
796,762,150143,15,1501,VILLA MARIA DEL TRIUNFO,58.30885629,61.26015749,42.53485715,46.27986284
