"","NRO","SEXO","EDAD","P1","P2A","P2B","P2C","P3","P4A","P4B","P4C","P5A","P5B","P5C","P5D","P5E","P5F","P5G","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15.1","P15.2","P16","P17.1","P17.2","P18","P19","P20","P21A","P21B","P21C","P21D","P21E","P21F","P22","P23","P24","P25","P26","P27A","P27B","P27C","P28","P29","P30","P31","P32A","P32B","P32C","P32D","P33.1","P33.2","P33.3","P34","P35A","P35B","P35C","P35D","P35E","P35F","P35G","P35H","P36A","P36B","P36C","P36D","P37.01","P37.02","P37.03","P37.04","P37.05","P37.06","P37.07","P37.08","P37.09","P37.10","P38.1","P38.2","P38.3","P39","P40","P41","P42","P43A","P43B","P43C","P43D","P43E","P43F","P43G","P44","P45A","P45B","P45C","P45D","P45E","P45F","P45G","P46A","P46B","P46C","P46D","P46E","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56A","P56B","P56C","P56D","P56E","P56F","P56G","P56H","P56I","P57","P58","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","BUSTRAB","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO07","estrato","nse1","nsegrup","PESO","UBIGEO07","inseguridad07","inseguridad07100","rank_inseguridad07100","adaptk7.cluster"
"1",395,"Femenino",25,"Nada interesado","Desaprueba",NA,"Aprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Poca","Poca","Ninguna","Ninguna","Mucha","Ninguna","Ninguna","Regular",NA,"Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Algo peor","Permanecerá igual","Permanece igual","Permanece igual","Son trabajadores","No tienen interés en cambiar su realidad","Dificultad de independizarse de su familia","Programa de empleo juvenil","Programa de control y rehabilitación del uso de drogas","Estudiar una carrera universitaria","Regular","Regular","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","Serán mejores que los adultos de hoy","Poco","Sí","No","En desacuerdo","De acuerdo","En desacuerdo","Es muy difícil confiar en los demás","Muy satisfecho","Poder trabajar en lo que me gusta",NA,"De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Amenazas e intimidaciones","Venta de drogas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sí","Sí","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Todos","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno",NA,NA,"No",NA,"No",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fue un buen gesto y allanó el caminó para resolver el proble",4,"Secundaria incompleta","Independiente / cuenta propia","Servicio doméstico","Otra persona",NA,"Asalariado sector público","No","Empleado de rango intermedio del sector privado","Water / inodoro",2,"Sí","Sí","Sí","Sí",NA,NA,"18 a 29","Casa independiente","Popular","Asfaltado en buen estado","Plano","150135            ","Lima Norte","B","A/B",1.00820283487116,"150135            ",0.231947961239057,61.8250143543445,280,2
"2",285,"Femenino",49,"Poco interesado","Desaprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Poca","Poca","Alguna","Poca","Alguna",NA,"Ninguna","Regular","Mejor","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","Permanece igual","Permanecerá igual","Algo peor","Permanece igual","No tienen interés en cambiar su realidad",NA,"Falta de oportunidades de trabajo","Programa de prevención del pandillaje y la violencia juvenil",NA,"Buscar trabajo","Regular","Muy mal","De acuerdo",NA,"En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí",NA,"Poco","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales",NA,NA,"Robo en vivienda o local","Regular frecuencia","Ninguna frecuencia","Regular frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia",NA,NA,"No","No","No","No","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,"El desempleo",NA,NA,"No",NA,NA,"Se mantiene igual",NA,"Muy eficaz","Muy eficaz","Nada eficaz","Nada eficaz","Bastante eficaz",NA,"Los profesores","Malo","Bueno","Malo","Muy bueno","Muy bueno","Bueno",NA,"Muy bueno","Bueno","Bueno","Muy bueno","Malo","En la lucha contra la delincuencia callejera","Su presencia evitará que se cometan delitos","Sí","Poco satisfactorio","No",NA,NA,"No",NA,"Se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá",NA,NA,NA,"Los peruanos deben conocer más los logros y avances del Gobi","Fue un buen gesto y allanó el caminó para resolver el proble",5,"Secundaria incompleta","Independiente / cuenta propia","Servicio doméstico","El entrevistado y otra persona en partes iguales",NA,NA,NA,NA,"Letrina / silo",0,"No","Sí","No","No","Peores","Entre 300 y 600","45 o más","Vivienda improvisada o choza","Precario","No tiene pistas","Inclinado","150112            ","Lima Norte","E","D/E",1.00820283487116,"150112            ",-0.408890692412296,48.208774337814,160,3
"3",279,"Masculino",18,"Muy interesado","Desaprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Poca","Ninguna","Mucha",NA,"Poca","Poca","Ninguna","Buena","Igual","Insatisfecho",NA,NA,"Algo peor","Permanecerá igual",NA,"Permanece igual","Son trabajadores",NA,"Bajas remuneraciones","Programa de empleo juvenil",NA,"Ingresar a las fuerzas armadas o policiales","Mal","Regular","De acuerdo",NA,NA,"De acuerdo","De acuerdo",NA,"Sí","Serán peores que los adultos de hoy","Nada","Sí","No","En desacuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","4","Poder trabajar en lo que me gusta","El SIDA","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","Secuestro",NA,NA,"Amenazas o intimidaciones","Poca frecuencia","Poca frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia",NA,NA,"No",NA,NA,NA,"No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales",NA,NA,"No",NA,NA,"Ha aumentado algo","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz",NA,"Bueno","Malo",NA,NA,"Malo","Malo","Malo",NA,NA,NA,NA,NA,"En la lucha contra la delincuencia callejera","Pueden ayudarme","No",NA,"No",NA,NA,"No",NA,"No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá",NA,"Fue un buen gesto y allanó el caminó para resolver el proble",12,"Secundaria incompleta","Independiente / cuenta propia","Obrero eventual","El entrevistado y otra persona en partes iguales",NA,NA,"Sí",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 300 y 600","18 a 29","Casa independiente","Precario","Asfaltado en buen estado","Inclinado","150110            ","Lima Norte","D","D/E",1.00820283487116,"150110            ",-0.705780793293472,41.9005923186792,110,3
"4",280,"Masculino",41,"Algo interesado","Desaprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Poca","Ninguna","Alguna","Ninguna","Poca","Ninguna","Poca","Regular","Igual","Insatisfecho",NA,NA,"Permanece igual","Permanecerá igual",NA,NA,"Son rebeldes",NA,"Inestabilidad laboral","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Regular",NA,NA,"De acuerdo",NA,NA,NA,NA,"Sí","Serán iguales que los adultos de hoy","Poco","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asaltos con armas",NA,NA,"Actos de vandalismo",NA,NA,NA,"Regular frecuencia","Regular frecuencia","Regular frecuencia","Regular frecuencia",NA,NA,NA,NA,NA,"No llevar mucho dinero consigo","No salir de noche sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","Las carencias afectivas en el hogar",NA,"Sí","Robo en vivienda o local","Algo","Se mantiene igual","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Los profesores","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En las operaciones especiales",NA,"No",NA,"No",NA,NA,"Sí, una parte","No","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá",NA,"Fue un buen gesto y allanó el caminó para resolver el proble",5,"Secundaria incompleta","Independiente / cuenta propia","Chofer, transportista o taxista sin carro propio","El propio entrevistado",NA,NA,"Sí",NA,"Water / inodoro",1,"No","Sí","Sí","No","Iguales","Entre 300 y 600","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Muy inclinado","150110            ","Lima Norte","D","D/E",1.00820283487116,"150110            ",-0.289129792618346,50.7533979289453,190,3
"5",99,"Femenino",32,"Poco interesado","Aprueba",NA,"Aprueba","Aprueba","Desaprueba",NA,"Desaprueba","Poca","Poca","Alguna","Alguna","Alguna","Ninguna","Alguna","Regular","Mejor","Satisfecho",NA,"Promover una mayor participación del Estado en la economía e","Permanece igual","Mejorará algo","Algo mejor","Algo mejor","Son emprendedores","Son creativos","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Buscar trabajo","Regular","Bien","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo",NA,"Serán mejores que los adultos de hoy","Poco","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asaltos con armas","Secuestro",NA,"Atraco (con violencia o amenaza)","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Sí","No","No","No","No salir de noche sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","El desempleo","La poca dureza de las penas","No",NA,NA,"Ha aumentado algo","Poco eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La familia","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la protección de funcionarios","Nunca aparecen cuando se les necesita","No",NA,"No",NA,NA,"Sí, una parte","Sí","No se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Un Presidente no debe pedir disculpas porque le resta autori",5,"Superior técnica completa","Ama de casa",NA,"Otra persona",NA,"Asalariado sector privado","No","Funcionario público de rango medio","Water / inodoro",2,"No","Sí","Sí","Sí","Mejores","Entre 1001 y 1500","30 a 44","Departamento en edificio","Medio","Asfaltado en regular o mal estado","Plano","150104            ","Lima Moderna","B","A/B",1.31613699793188,"150104            ",1.85860904779389,96.3875483929527,462,1
"6",351,"Femenino",37,"Algo interesado","Desaprueba","Desaprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Ninguna","Ninguna","Alguna","Ninguna","Ninguna","Ninguna","Poca","Mala","Peor","Muy satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","Algo peor","Empeorará algo","Algo peor","Algo peor","Son rebeldes","Son pesimistas con su futuro","Inestabilidad laboral","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil",NA,"Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","No","Serán peores que los adultos de hoy","Nada","Sí","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Asaltos con armas","Venta de drogas","Agresión sexual","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Sí","Sí","Sí","No","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Instalar rejas en su domicilio",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","Las carencias afectivas en el hogar","Sí","Robo al paso (de bolso, cartera, celular)","Algo","Ha aumentado mucho","Nada eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno",NA,"En la resolución de secuestros",NA,"No",NA,"No",NA,NA,"Sí, todo","No","No se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá","No se cumplirá",NA,"No se cumplirá","El Gobierno debe dar muestras de estar trabajando de manera ","Fue un buen gesto y allanó el caminó para resolver el proble",5,NA,"Asalariado sector privado","Profesor escolar, profesor no universitario (de academia o i","El entrevistado y otra persona en partes iguales",NA,NA,"No",NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Peores","Entre 601 y 1000","30 a 44","Casa independiente","Popular","Asfaltado en regular o mal estado","Plano","150135            ","Lima Norte","C","C",1.00820283487116,"150135            ",1.85860904779389,96.3875483929527,462,1
"7",399,"Femenino",48,"Poco interesado","Desaprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Ninguna","Ninguna","Mucha","Ninguna","Ninguna","Ninguna","Poca","Regular","Peor","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","Algo peor","Permanecerá igual","Algo peor","Permanece igual","Son emprendedores","Quieren y valoran a su país","Bajas remuneraciones","Programa de control y rehabilitación del uso de drogas","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera universitaria","Regular","Regular","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","Serán peores que los adultos de hoy","Poco","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Agresiones físicas","Protestas o huelgas","Robo al paso (de bolso, cartera, celular)","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","No","No","No","Sí","No salir de noche sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","La escasez de medios de la Policía","Sí","Atraco (con violencia o amenaza)","Mucho","Ha aumentado mucho","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","Todos","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno",NA,"Bueno",NA,"Bueno","En la lucha contra las drogas",NA,"No",NA,"No",NA,NA,"No",NA,"Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Las disculpas dadas no lo favorecen ni lo perjudican",7,NA,"Asalariado sector privado","Profesor escolar, profesor no universitario (de academia o i","El propio entrevistado",NA,NA,"Sí",NA,"Water / inodoro",1,"No","Sí","Sí","No","Peores","Entre 1001 y 1500","45 o más","Casa independiente","Medio","Asfaltado en buen estado","Plano","150135            ","Lima Norte","C","C",1.00820283487116,"150135            ",1.85860904779389,96.3875483929527,462,1
"8",19,"Masculino",53,"Muy interesado","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Aprueba","Alguna","Poca","Mucha","Poca","Poca","Poca","Poca","Buena","Mejor","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Algo mejor","Mejorará algo","Algo mejor","Algo mejor","Son individualistas","Son creativos","Bajo nivel educativo","Programa de educación en salud sexual y reproductiva","Programa para incentivar la participación política de los jó","Estudiar una carrera técnica","Mal","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán peores que los adultos de hoy","Poco","Sí","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Violaciones, abusos o acosos sexuales","Secuestro","Protestas o huelgas","Robo de vehículo","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Sí","Sí","No","No","Evitar caminar por zonas apartadas o por lugares que conside","Instalar una alarma en su domicilio",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","El desempleo","No",NA,NA,"Ha aumentado mucho","Poco eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","En las operaciones especiales","Le inspiran confianza","No",NA,"No",NA,NA,"Sí, una parte","Sí","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Todos los peruanos debemos ser pacientes y confiar en el tra","Fue un buen gesto y allanó el caminó para resolver el proble",4,NA,"Independiente / cuenta propia","Pequeño empresario (5 a 20 trabajadores)","El propio entrevistado",NA,NA,"No",NA,"Water / inodoro",2,"No","No","Sí","Sí","Iguales","Entre 1501 y 2000","45 o más","Departamento en edificio","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","B","A/B",0.739960960664607,"150101            ",2.02862651380729,100,470,1
"9",107,"Femenino",51,"Nada interesado","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Poca","Poca","Mucha","Poca","Poca","Ninguna","Mucha","Regular","Mejor","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Mucho mejor","Mejorará algo","Algo mejor","Algo mejor","Son emprendedores","Son pesimistas con su futuro","Inestabilidad laboral","Programa de control y rehabilitación del uso de drogas","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera técnica","Mal","Regular","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Sí","Serán peores que los adultos de hoy","Nada","Sí","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amenazas e intimidaciones","Hurto sin violencia","Venta de drogas",NA,"Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","No","No","No","No","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","La poca dureza de las penas","No",NA,NA,"Ha aumentado mucho","Nada eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Muy eficaz","Bastante eficaz","Todos","Malo","Bueno","Bueno","Muy malo","Bueno","Bueno","Malo","Bueno","Bueno","Bueno","Bueno","Muy bueno","En las operaciones especiales","Su presencia evitará que se cometan delitos","No",NA,"No",NA,NA,"No",NA,"Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Un Presidente no debe pedir disculpas porque le resta autori",6,"Superior técnica completa","Ama de casa",NA,"Otra persona","Superior técnica completa","Independiente / cuenta propia","Sí",NA,"Water / inodoro",2,"No","Sí","Sí","No","Mejores","Entre 2001 y 3000","45 o más","Departamento en edificio","Medio","Asfaltado en regular o mal estado","Plano","150113            ","Lima Moderna","C","C",1.31613699793188,"150113            ",2.02862651380729,100,470,1
"10",138,"Masculino",38,"Algo interesado","Desaprueba",NA,"Aprueba","Aprueba","Desaprueba","Desaprueba","Aprueba","Poca","Poca",NA,"Ninguna","Poca","Poca","Alguna","Regular","Igual","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","Permanece igual","Permanecerá igual","Permanece igual","Permanece igual","Son individualistas","No tienen interés en cambiar su realidad","Bajo nivel educativo","Programa de empleo juvenil",NA,"Estudiar una carrera técnica","Muy mal","Mal","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","No","Serán peores que los adultos de hoy","Nada","No","Sí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asaltos con armas","Violencia callejera","Venta de drogas","Abusos o coacciones por parte de agentes de la autoridad","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Sí","No","Sí","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista","Instalar una alarma en su domicilio","Instalar rejas en su domicilio","Evitar los estacionamientos oscuros y mal vigilados",NA,"Tener un arma en casa",NA,"El desempleo","Las carencias afectivas en el hogar","La ineficacia del sistema penitenciario","Sí","Atraco (con violencia o amenaza)","Nada","Ha aumentado mucho","Poco eficaz","Muy eficaz","Muy eficaz","Poco eficaz","Nada eficaz","Poco eficaz","Poco eficaz","La familia","Bueno","Muy malo","Muy malo","Muy malo","Muy malo","Muy malo","Malo","Muy malo","Bueno","Muy malo","Muy malo","Muy malo","En la protección de funcionarios","Pueden acusarme de algo sin pretexto","No",NA,"No",NA,NA,"Sí, todo","Sí","No se cumplirá","Se cumplirá","Se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","No se cumplirá","Se cumplirá","No se cumplirá","Los peruanos deben conocer más los logros y avances del Gobi","Las disculpas dadas no lo favorecen ni lo perjudican",4,"Postgrado","Asalariado sector público","Profesional independiente o profesor universitario","El propio entrevistado",NA,NA,"No",NA,"Water / inodoro",3,"Sí","Sí","Sí","Sí","Iguales","Entre 5001 y 10000","30 a 44","Departamento en edificio","Residencial","Asfaltado en buen estado","Plano","150121            ","Lima Moderna","A","A/B",1.31613699793188,"150121            ",2.02862651380729,100,470,1
