"","NRO","SEXO","EDAD","P1A","P1B","P1C","P1D","P2_1","P2_2","P3A","P3B","P3C","P3D","P4A","P4B","P4C","P4D","P4E","P4F","P4G","P4H","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22.1","P22.2","P23","P24","P25A","P25B","P26","P27","P28A","P28B","P28C","P28D","P28E","P29","P30","P31.1","P31.2","P32","P33.1","P33.2","P34","P35","P36","P37A","P37B","P37C","P37D","P37E","P37F","P38","P39","P40","P41","P42","P43A","P43B","P43C","P44","P45","P46","P47","P48A","P48B","P48C","P48D","P49.1","P49.2","P49.3","P50","P51A","P51B","P51C","P51D","P51E","P51F","P51G","P51H","P51I","P51J","P52A","P52B","P52C","P52D","P53.01","P53.02","P53.03","P53.04","P53.05","P53.06","P53.07","P53.08","P53.09","P53.10","P54.1","P54.2","P54.3","P55","P56","P57","P58","P59A","P59B","P59C","P59D","P59E","P59F","P59G","P60","P61A","P61B","P61C","P61D","P61E","P61F","P61G","P62A","P62B","P62C","P62D","P62E","P63","P64","P65","P66","P67","P68","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","IDENETNICA","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO10","estrato","nse1","nsegrup","ESTRATOS","PESO","inseguridad08","inseguridad08100","rank_inseguridad08100","adaptk8.cluster"
"1",1,"Femenino",37,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Porque favorece a los miembros de su partido",NA,"Desaprueba","Desaprueba","Aprueba","Aprueba","Ninguna","Ninguna","Mucha","Ninguna","Alguna","Ninguna","Alguna","Ninguna","Mala","Peor","Medianamente informado","Ambos por igual","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Muy insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover la economía privada de mercado es la única forma en","10","5","Mucho peor","Empeorará algo","Algo peor","Empeorará algo","Algo justificable","Los bajos salarios / sueldos","La falta de atención del gobierno a las demandas de las regi","Me solidarizo con ellas","Ninguno de los dos","Poco impacto","Mucho impacto","Muy intolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","El Partido Aprista Peruano","El Partido Aprista Peruano","Son individualistas","No tienen interés en cambiar su realidad","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa para incentivar las cualidades artísticas y deporti","Viajar al extranjero","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","No precisa","No","Serán iguales que los adultos de hoy","Poco","Sí","Sí","De acuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Formar una familia estable","Los embarazos no deseados","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Secuestro","Venta de drogas","Agresión sexual","Poca frecuencia","Regular frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Sí","Sí","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","La ineficacia del sistema penitenciario","No",NA,NA,"Ha aumentado mucho","Bastante eficaz","Bastante eficaz","Muy eficaz","Poco eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Todos","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","No precisa","En la resolución de secuestros","No",NA,"No",NA,NA,6,"Superior universitaria completa","Asalariado sector público","Profesor escolar, profesor no universitario (de academia o i","Otra persona","Superior técnica incompleta","Independiente / cuenta propia","Obrero eventual","Water / inodoro",3,"No","Sí","Sí","No","Peores","Entre 601 y 1000","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","C","C","Lima Antigüa - Mujeres",0.734157345286845,-0.0387608780581013,56.0698194129479,248,1
"2",2,"Femenino",36,"Desaprueba","Desaprueba","No precisa","Aprueba","Por el alza de precios/inflación",NA,"Desaprueba","Aprueba","Desaprueba","Aprueba","Poca","Poca","Alguna","Ninguna","Alguna","Ninguna","Poca","Poca","Regular","Peor","Poco informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","3","5","Mucho peor","Permanecerá igual","Algo peor","Empeorará algo","Algo justificable","El alza o la subida de precios de algunos productos de la ca","Los bajos salarios / sueldos","Simpatizo con ellas","El gobierno","Algún impacto","Poco impacto","Tolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","Ninguno/Nadie","Ninguno/Nadie","Son rebeldes","Son pesimistas con su futuro","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Iniciar un negocio","Muy mal","Bien","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","No","Serán peores que los adultos de hoy","Nada","Sí","No","De acuerdo","De acuerdo","En desacuerdo","Es muy difícil confiar en los demás","","Formar una familia estable","El SIDA","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Violencia callejera","Venta de drogas","Atraco (con violencia o amenaza)","Mucha frecuencia","Mucha frecuencia","Regular frecuencia","Poca frecuencia","Mucha frecuencia","Mucha frecuencia","Mucha frecuencia","Poca frecuencia","Poca frecuencia","Mucha frecuencia","No","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Llevar algún arma u objeto defensivo","No llevar joyas u objetos valiosos a la vista",NA,NA,NA,NA,NA,NA,"El consumo de drogas","El bajo nivel educativo","Las carencias afectivas en el hogar","Sí","Robo al paso (de bolso, cartera, celular)","Mucho","Ha aumentado mucho","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Bastante eficaz","Muy eficaz","El propio consumidor","Malo","Malo","Malo","Malo","Malo","Malo","Muy malo","Malo","Malo","Malo","Malo","Malo","En la protección de funcionarios","No",NA,"No",NA,NA,4,"Superior técnica incompleta","Independiente / cuenta propia","Vendedor ambulante","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 1001 y 1500","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","C","C","Lima Antigüa - Mujeres",0.734157345286845,-1.54424559133601,23.0058634179855,43,2
"3",3,"Masculino",54,"Aprueba","Aprueba","Desaprueba","Desaprueba","Porque hay más trabajo y mejores condiciones laborales",NA,"Aprueba","Aprueba","Aprueba","Desaprueba","Poca","Poca","Mucha","Alguna","Mucha","Poca","Mucha","Poca","Regular","Igual","Poco informado","Ambos por igual","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios nacionales","Insatisfecho","Me da lo mismo un tipo de gobierno u otro","Promover una mayor participación del Estado en la economía e","2","5","Algo peor","Mejorará algo","Algo mejor","Mejorará algo","Muy justificable","La falta de empleo","Los bajos salarios / sueldos","Simpatizo con ellas","Los organizadores del paro","Poco impacto","Mucho impacto","Intolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","Los sindicatos (la GCTP)","La oposición","Son rebeldes","No tienen interés en cambiar su realidad","Inestabilidad laboral","Programa de prevención del pandillaje y la violencia juvenil","Programa para incentivar las cualidades artísticas y deporti","Buscar trabajo","Bien","Regular","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Sí","Serán mejores que los adultos de hoy","Poco","Sí","No","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser exitoso en mi trabajo","Las violaciones sexuales","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Asaltos con armas","Venta de drogas","Atraco (con violencia o amenaza)","Mucha frecuencia","Poca frecuencia","Poca frecuencia","Ninguna frecuencia","Regular frecuencia","Mucha frecuencia","Poca frecuencia","Mucha frecuencia","Poca frecuencia","Poca frecuencia","No","No","No","No","No llevar mucho dinero consigo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La poca eficacia de la Policía","La lejanía de las comisarías","No",NA,NA,"Ha aumentado mucho","Poco eficaz","Muy eficaz","Bastante eficaz","Muy eficaz","Nada eficaz","Bastante eficaz","Muy eficaz","La familia","Malo","Malo","Bueno","Malo","Malo","Bueno","Malo","Malo","Malo","Muy malo","Bueno","Malo","En la lucha contra las drogas","No",NA,"No",NA,NA,5,"Secundaria incompleta","Independiente / cuenta propia","Obrero eventual","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",1,"No","Sí","No","No","Peores","Entre 601 y 1000","Blanco","45 a más","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","D","D/E","Lima Antigüa - Hombres",0.786597155664477,-0.392952966402536,48.2909349649712,181,3
"4",4,"Masculino",41,"Desaprueba","Desaprueba","Aprueba","Aprueba","Porque es una mala gestión/mala administración","Por el alza de precios/inflación","No precisa","No precisa","Desaprueba","Desaprueba","Ninguna","Ninguna","No precisa","Ninguna","Poca","Poca","Poca","Poca","Mala","Igual","Informado","La gente que vive en Lima","Los dueños de las grandes empresas","Los sectores populares, el pueblo","Los empresarios extranjeros","Insatisfecho","Me da lo mismo un tipo de gobierno u otro","Promover una mayor participación del Estado en la economía e","8","5","Algo peor","Empeorará algo","Permanece igual","Empeorará algo","Nada justificable","El alza o la subida de precios de algunos productos de la ca","Los bajos salarios / sueldos","Me solidarizo con ellas","Los organizadores del paro","Poco impacto","Algún impacto","Tolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","El Partido Aprista Peruano","Los sindicatos (la GCTP)","Son individualistas","Son rebeldes","Bajo nivel educativo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Viajar al extranjero","Regular","Regular","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Poco","Sí","No","En desacuerdo","En desacuerdo","No precisa","Es muy difícil confiar en los demás","","Ganar mucho dinero","El SIDA","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Hurto sin violencia","Asaltos con armas","Secuestro","Atraco (con violencia o amenaza)","Mucha frecuencia","Mucha frecuencia","Regular frecuencia","Ninguna frecuencia","Poca frecuencia","Mucha frecuencia","Regular frecuencia","Ninguna frecuencia","Poca frecuencia","Poca frecuencia","No","No","No","No","Evitar caminar por zonas apartadas o por lugares que conside","No dejar objetos a la vista en el auto","Tener un arma en casa",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La pobreza y las desigualdades sociales","La poca eficacia de la Policía","Sí","Robo al paso (de bolso, cartera, celular)","Mucho","Ha aumentado algo","Poco eficaz","Poco eficaz","Muy eficaz","Poco eficaz","Nada eficaz","Poco eficaz","Muy eficaz","Todos","Malo","Malo","Malo","Malo","Malo","No precisa","No precisa","Malo","No precisa","Malo","Malo","Malo","En la lucha contra las drogas","No",NA,"Sí","Pelea / alteración del orden público","Se resolvió satisfactoriamente",4,"Secundaria incompleta","Independiente / cuenta propia","Obrero eventual","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","No","Peores","Menos de 300","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","D","D/E","Lima Antigüa - Hombres",0.786597155664477,-0.486700322445059,46.2320243513356,168,3
"5",5,"Masculino",73,"Aprueba","Aprueba","Aprueba","Desaprueba","Porque está trabajando/está tratando de hacer bien las cosas","Porque hay más trabajo y mejores condiciones laborales","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Mucha","Mucha","Poca","Ninguna","Ninguna","Ninguna","Ninguna","Alguna","Regular","Mejor","Poco informado","La gente que vive en provincias","Los trabajadores","Ambos por igual","Los empresarios nacionales","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","3","5","Permanece igual","Mejorará algo","Algo mejor","Mejorará algo","Nada justificable","La falta de empleo","Los bajos salarios / sueldos","Estoy totalmente en desacuerdo con ellas","El gobierno","Ningún impacto","Algún impacto","Muy intolerante","Mucha influencia","No","Sí","Sí","Sí","Sí","Ninguno/Nadie","Los sindicatos (la GCTP)","Son rebeldes","No tienen interés en cambiar su realidad","Bajo nivel educativo","Programa de empleo juvenil","Programa de control y rehabilitación del uso de drogas","Buscar trabajo","Muy mal","Muy bien","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán peores que los adultos de hoy","Poco","Sí","Sí","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Formar una familia estable","El SIDA","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Asaltos con armas","Violencia callejera","Terrorismo","Robo en vivienda o local","Mucha frecuencia","Mucha frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Mucha frecuencia","Regular frecuencia","Ninguna frecuencia","Mucha frecuencia","Poca frecuencia","Sí","No","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El bajo nivel educativo","La poca eficacia de la Policía","No",NA,NA,"Ha disminuido mucho","Muy eficaz","Poco eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Poco eficaz","Muy eficaz","Las autoridades del Estado","Muy malo","Bueno","Muy bueno","Malo","Muy malo","Muy malo","Muy malo","Malo","Malo","Malo","Malo","Muy malo","En la resolución de secuestros","No",NA,"No",NA,NA,2,"Primaria completa","Independiente / cuenta propia","Pequeño comerciante con puesto / Microempresario (menos de 5","El propio entrevistado",NA,NA,NA,"Water / inodoro",2,"Sí","Sí","Sí","Sí","Iguales","Entre 300 y 600","Quechua","45 a más","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","C","C","Lima Antigüa - Hombres",0.786597155664477,-0.314997909621563,50.0030098497297,209,3
"6",6,"Femenino",22,"Desaprueba","No precisa","Desaprueba","Aprueba","Porque no se perciben cambios/todo sigue igual",NA,"Desaprueba","Aprueba","Desaprueba","Desaprueba","Ninguna","Ninguna","Mucha","Alguna","Alguna","Ninguna","No precisa","Alguna","Regular","Peor","Poco informado","No precisa","Ambos por igual","Ambos por igual","No precisa","Insatisfecho","Me da lo mismo un tipo de gobierno u otro","Promover una mayor participación del Estado en la economía e","5","5","Algo mejor","Mejorará algo","Permanece igual","No precisa","Poco justificable","El alza o la subida de precios de algunos productos de la ca","La falta de atención del gobierno a las demandas de las regi","Estoy algo en desacuerdo con ellas","Ninguno de los dos","Mucho impacto","Mucho impacto","Intolerante","Poca influencia","No precisa","Sí","Sí","Sí","Sí","El Partido Aprista Peruano","No precisa","Son trabajadores","Quieren y valoran a su país","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa de empleo juvenil","Estudiar una carrera técnica","Regular","Bien","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Sí","Serán peores que los adultos de hoy","Algo","Sí","No","En desacuerdo","De acuerdo","En desacuerdo","Es muy difícil confiar en los demás","","Ser de utilidad a la sociedad","El SIDA","En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","Agresiones físicas","Violencia callejera","Venta de drogas","Robo al paso (de bolso, cartera, celular)",NA,"Regular frecuencia","Regular frecuencia","Ninguna frecuencia","Regular frecuencia","Mucha frecuencia","Mucha frecuencia","Regular frecuencia","Regular frecuencia","Mucha frecuencia","No","No","No","No","Instalar una alarma en su domicilio","Instalar rejas en su domicilio","Tener un arma en casa",NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","La falta de colaboración ciudadana","La escasez de medios de la Policía","No",NA,NA,"Ha disminuido algo","Poco eficaz","Poco eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Muy eficaz","La familia","Bueno","Malo","Bueno","Malo","Bueno","Bueno","Malo","Bueno","Malo","Bueno","Bueno","Bueno","En la resolución de secuestros","No",NA,"No",NA,NA,3,"Superior técnica completa","Independiente / cuenta propia","Empleado no profesional de rango medio (cajero, vendedor)","Otra persona","Secundaria completa","Asalariado sector público","Obrero especializado, mecánico, electricista","Water / inodoro",2,"No","Sí","Sí","No","Mejores","Entre 1001 y 1500","Mestizo","18 a 29","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","C","C","Lima Antigüa - Mujeres",0.734157345286845,-1.08271203295806,33.1422169324499,87,3
"7",7,"Femenino",29,"Desaprueba","Desaprueba","No precisa","Aprueba","Porque no cumple sus promesas/Ha vuelto a engañar al pueblo/",NA,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Ninguna","Ninguna","Alguna","Ninguna","Alguna","Alguna","Poca","Alguna","Mala","Igual","Poco informado","Ambos por igual","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Los empresarios extranjeros","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","0","5","Algo peor","Permanecerá igual","Algo peor","Permanecerá igual","Algo justificable","El alza o la subida de precios de algunos productos de la ca","Los bajos salarios / sueldos","Me solidarizo con ellas","Los organizadores del paro","Algún impacto","Mucho impacto","Intolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","Ninguno/Nadie","Ninguno/Nadie","Son emprendedores","Son rebeldes","Falta de oportunidades de trabajo","Programa de empleo juvenil","Programa de prevención del pandillaje y la violencia juvenil","Estudiar una carrera universitaria","Regular","Bien","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán iguales que los adultos de hoy","Nada","Sí","Sí","En desacuerdo","En desacuerdo","En desacuerdo","Es muy difícil confiar en los demás","","Formar una familia estable","El SIDA","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Amenazas e intimidaciones","Terrorismo","Corrupción","Actos de vandalismo","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Poca frecuencia","Regular frecuencia","Poca frecuencia","Regular frecuencia","Ninguna frecuencia","Poca frecuencia","Sí","No","No","No","No salir de noche sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","Las carencias afectivas en el hogar","No",NA,NA,"Ha aumentado mucho","Poco eficaz","Poco eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Poco eficaz","Bastante eficaz","La familia","Malo","Bueno","Malo","Malo","Muy malo","Bueno","Malo","Malo","Bueno","Bueno","Bueno","Malo","En las operaciones especiales","No",NA,"No",NA,NA,9,"Superior técnica completa","Ama de casa",NA,"Otra persona","Inicial o primaria incompleta","Retirado / jubilado",NA,"Water / inodoro",2,"No","Sí","Sí","No","Peores","Entre 601 y 1000","Quechua","18 a 29","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","D","D/E","Lima Antigüa - Mujeres",0.734157345286845,0.912445519096857,76.9605306770832,441,4
"8",8,"Masculino",29,"Aprueba","Aprueba","No precisa","Aprueba","Porque está trabajando/está tratando de hacer bien las cosas","Porque cumple sus promesas","Desaprueba","Aprueba","Desaprueba","Desaprueba","Alguna","Ninguna","Alguna","Poca","Poca","Poca","Ninguna","Alguna","Regular","Mejor","Poco informado","La gente que vive en Lima","Los dueños de las grandes empresas","Los sectores populares, el pueblo","Los empresarios nacionales","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","Promover una mayor participación del Estado en la economía e","5","5","Permanece igual","Permanecerá igual","Algo mejor","Permanecerá igual","Nada justificable","El alza o la subida de precios de algunos productos de la ca","Los bajos salarios / sueldos","Me solidarizo con ellas","Los organizadores del paro","Poco impacto","Mucho impacto","Tolerante","Mucha influencia","Sí","Sí","No","Sí","Sí","Los sindicatos (la GCTP)","El Partido Aprista Peruano","Son emprendedores","Son creativos","Inestabilidad laboral","Programa de empleo juvenil","Programa para incentivar la participación política de los jó","Viajar al extranjero","Regular","Bien","De acuerdo","De acuerdo","No precisa","De acuerdo","De acuerdo","De acuerdo","No","Serán peores que los adultos de hoy","Nada","Sí","No","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Ser autosuficiente, no depender de nadie","La falta de trabajo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Asaltos con armas","Terrorismo","Venta de drogas","Robo de vehículo","Regular frecuencia","Regular frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Sí","No","No","No","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El bajo nivel educativo","La poca dureza de las penas","No",NA,NA,"Ha disminuido algo","Poco eficaz","Bastante eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Poco eficaz","El propio consumidor","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Bueno","Malo","Malo","Malo","En las operaciones especiales","No",NA,"No",NA,NA,7,"Superior técnica incompleta","Independiente / cuenta propia","Obrero especializado, mecánico, electricista","El propio entrevistado",NA,NA,NA,"Water / inodoro",4,"No","Sí","Sí","No","Mejores","Entre 2001 y 3000","Blanco","18 a 29","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","C","C","Lima Antigüa - Hombres",0.786597155664477,0.461904092791344,67.0655900231603,353,1
"9",9,"Femenino",18,"Desaprueba","Aprueba","Aprueba","Aprueba","Porque es una mala gestión/mala administración","Por la inestabilidad política/Huelgas y paros","Aprueba","Desaprueba","Desaprueba","Aprueba","Poca","Poca","Mucha","Poca","Mucha","Poca","Poca","Mucha","Regular","Igual","Poco informado","La gente que vive en Lima","Ambos por igual","La gente de clase alta, los ricos","Ambos por igual","Insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover una mayor participación del Estado en la economía e","3","5","Algo mejor","Permanecerá igual","Algo mejor","Mejorará algo","Muy justificable","El alza o la subida de precios de algunos productos de la ca","La falta de empleo","Me solidarizo con ellas","El gobierno","Poco impacto","Mucho impacto","Intolerante","Poca influencia","Sí","Sí","Sí","Sí","Sí","Ninguno/Nadie","La oposición","Son emprendedores","Son creativos","Falta de oportunidades de trabajo","Programa de educación en salud sexual y reproductiva","Programa para incentivar las cualidades artísticas y deporti","Estudiar una carrera universitaria","Mal","Bien","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Sí","Serán mejores que los adultos de hoy","Algo","Sí","No","En desacuerdo","De acuerdo","De acuerdo","Es muy difícil confiar en los demás","","Poder trabajar en lo que me gusta","El SIDA","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","Violaciones, abusos o acosos sexuales","Violencia callejera","Venta de drogas","Agresión sexual","Ninguna frecuencia","Mucha frecuencia","Ninguna frecuencia","Ninguna frecuencia","Ninguna frecuencia","Regular frecuencia","Regular frecuencia","Ninguna frecuencia","Poca frecuencia","Ninguna frecuencia","Sí","Sí","No","No","No llevar mucho dinero consigo","No salir de noche sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,"La pobreza y las desigualdades sociales","El desempleo","La lejanía de las comisarías","No",NA,NA,"Ha aumentado algo","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","Muy eficaz","Las autoridades del Estado","Malo","Bueno","Malo","Bueno","Muy malo","Malo","Bueno","Bueno","Bueno","Bueno","Malo","Malo","En las operaciones especiales","No",NA,"No",NA,NA,2,"Superior técnica incompleta","Estudiante",NA,"Otra persona","Superior técnica completa","Asalariado sector privado","Suboficial de las FFAA o Policía","Water / inodoro",2,"No","Sí","Sí","Sí","Iguales","Entre 1501 y 2000","De la amazonía","18 a 29","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","B","A/B","Lima Antigüa - Mujeres",0.734157345286845,0.692980910882936,72.1405759578902,389,4
"10",10,"Masculino",31,"Aprueba","Desaprueba","Desaprueba","Aprueba","Porque mantiene la economía estable",NA,"Desaprueba","No precisa","Desaprueba","No precisa","Alguna","Ninguna","Ninguna","Ninguna","Poca","Ninguna","Ninguna","Ninguna","Regular","Igual","Informado","La gente que vive en Lima","Los dueños de las grandes empresas","La gente de clase alta, los ricos","Ambos por igual","Insatisfecho","A veces un gobierno autoritario o una dictadura puede ser pr","Promover la economía privada de mercado es la única forma en","8","6","Permanece igual","Mejorará algo","Algo peor","Permanecerá igual","Nada justificable","El alza o la subida de precios de algunos productos de la ca","Apoyar los intereses políticos de algunos grupos de oposició","Estoy totalmente en desacuerdo con ellas","El gobierno","Algún impacto","Mucho impacto","Tolerante","Mucha influencia","Sí","No","Sí","Sí","No","El gobierno","Los sindicatos (la GCTP)","Son emprendedores","Son creativos","Bajo nivel educativo","Programa de educación en salud sexual y reproductiva","Programa de prevención del pandillaje y la violencia juvenil","Buscar trabajo","Regular","Regular","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","Sí","Serán mejores que los adultos de hoy","Algo","No","Sí","No precisa","No precisa","No precisa","Es muy difícil confiar en los demás","","Ser exitoso en mi trabajo","La falta de trabajo","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Violaciones, abusos o acosos sexuales","Agresiones físicas","Secuestro","Atraco (con violencia o amenaza)","Poca frecuencia","Poca frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Poca frecuencia","Ninguna frecuencia","Poca frecuencia","Ninguna frecuencia","Ninguna frecuencia","Sí","Sí","No","No","No llevar mucho dinero consigo","Evitar caminar por zonas apartadas o por lugares que conside",NA,NA,NA,NA,NA,NA,NA,NA,"El consumo de drogas","El desempleo","La poca dureza de las penas","No",NA,NA,"Ha aumentado algo","No precisa","No precisa","Muy eficaz","Muy eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","Todos","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","En la lucha contra las drogas","No",NA,"No",NA,NA,7,"Superior universitaria completa","Retirado / jubilado",NA,"El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","Sí","No precisa","No precisa","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","B","A/B","Lima Antigüa - Hombres",0.786597155664477,1.06428833058878,80.2953530057597,470.5,4
