"","NRO","SEXO","EDAD","P1A","P1B","P1C","P1D","P2A","P2B","P2C","P2D","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16.1","P16.2","P16.3","P16.4","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32A","P32B","P32C","P32D","P32E","P32F","P32G","P32H","P32I","P32J","P33A","P33B","P33C","P34A","P34B","P35","P36","P37","P38","P39","P40","P41A","P41B","P41C","P41D","P41E","P42A","P42B","P42C","P42D","P42E","P42F","P42G","P42H","P43A","P43B","P43C","P43D","P43E","P44A","P44B","P44C","P44D","P44E","P44F","P44G","P45.1","P45.2","P45.3","P46_1","P46_2","P47.1","P47.2","P47.3","P48","P49","P50","P51.01","P51.02","P51.03","P51.04","P51.05","P51.06","P51.07","P51.08","P51.09","P51.10","P51.11","P51.12","P52","P53A","P53B","P53C","P53D","P53E","P53F","P53G","P54","P55A","P55B","P55C","P55D","P55E","P55F","P55G","P56A","P56B","P56C","P56D","P56E","P57","P58","P59","P60","P61","P62","TFAM","NIVEDU","OCUPA","TRAB","JEFE","JNIVEDU","JOCUPA","JTRAB","SERVHI","BANOS","DOMES","CGAS","REFRI","LAVA","COMPRAS","INGRESO","IDENETNICA","GEDAD","TIPOVIVI","AVIVI","PISTAS","NIVEL","UBIGEO09","estrato","nse1","nsegrup","PESO","UBIGEO09","inseguridad09","inseguridad09100","rank_inseguridad09100","adaptk.cluster"
"1",3,"Femenino",73,"Desaprueba","No precisa","Desaprueba","Desaprueba","Desaprueba","Aprueba","No precisa","Desaprueba","Muy mala","Peor","Poco informado","Algo interesado","Insatisfecho","Me da lo mismo un tipo de gobierno u otro","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","Si","","","Lourdes Flores","Keiko Fujimori","Ollanta Humala",NA,NA,"Otros","No precisa","Luis Castañeda","No precisa","Algo peor","Empeorará algo","Algo peor","Empeorará algo","Promover campañas de solidaridad y quedarse con lo entregado","Poco honesto","Muy grave","Mucho más corrupto","Algo mejor","Alan García Pérez (85-90)","Más corrupto que los otros","","","","","","","","","",4,"Poco eficiente","Poco eficiente","Nada eficiente","De acuerdo","En desacuerdo","Ricos","Los grandes empresarios peruanos","Un trabajo eficiente de instituciones especializadas en el c","Educación en valores en las escuelas y las familias","Garantía","","","","","","","","","",NA,"",NA,"","","No","No","No","No","No precisa","Sí","Sí","Sí","No","Sí","Sí","No precisa","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","Actos de vandalismo y violencia callejera","Actos de vandalismo y violencia callejera","Robo al paso (de bolso, cartera, celular)","El desempleo","La poca eficacia de la Policía","El mal funcionamiento de la justicia","No",NA,NA,"Instalar una alarma o instalar rejas en su domicilio","Llevar ocultos los objetos de valor o dinero","No subir a un bus vacío",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Bastante eficaz","Poco eficaz","Poco eficaz","Nada eficaz","Poco eficaz","Bastante eficaz","La familia","Ni bueno, ni malo","Malo","Malo","Malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Malo","Malo","Malo","Ninguno","No",NA,"No",NA,NA,6,"Secundaria incompleta","Retirado / jubilado",NA,"El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",3,"No","Sí","Sí","No","Peores","Entre 601 y 1000","Mestizo","45 a más","Casa independiente","Residencial","Asfaltado en buen estado","Plano","150101            ","Lima Antigüa","C","C",0.877796825886446,"150101            ",-0.152448839678543,43.031216016473,217,1
"2",57,"Femenino",75,"Aprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Mala","No precisa","Medianamente informado","Nada interesado","Insatisfecho","No precisa","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","No",NA,NA,"No precisa","Keiko Fujimori","Alejandro Toledo",NA,NA,"No precisa","Luis Castañeda","No precisa","No precisa","Algo peor","No precisa","Algo peor","No precisa","No precisa","Poco honesto","Muy grave","Mucho más corrupto","Algo peor","Alberto Fujimori Fujimori (90-2001)","Menos corrupto que los otros","No precisa","Muy corrupta","No es corrupta","No precisa","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","No precisa",10,"Nada eficiente","Nada eficiente","Nada eficiente","De acuerdo","De acuerdo","Ricos","No precisa","No precisa","Establecer penas y reparaciones muy altas","Certeza","No precisa","","Nada Segura","Muy segura","","No precisa","Nada Segura","Nada Segura","Nada Segura",NA,"Muy segura",NA,"Nada Segura","Nada Segura","Sí","No","Sí","No","No","Sí","Sí","Sí","No","No","No","No","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","No precisa","No precisa","El consumo de drogas","El desempleo","La poca eficacia de la Policía","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","No salir sin compañía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Poco eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Nada eficaz","Nada eficaz","Nada eficaz","La familia","Malo","Malo","No precisa","Malo","Muy malo","Malo","Ni bueno, ni malo","Malo","Malo","Malo","Malo","Malo","Ninguno","No",NA,"No",NA,NA,5,"Primaria completa","Ama de casa",NA,"Otra persona","Superior universitaria completa","Asalariado sector privado","Funcionario profesional del sector público / ejecutivo profe","Water / inodoro",1,"No","Sí","Sí","Sí","Iguales","Entre 1501 y 2000","Asiático","45 a más","Departamento en edificio","Medio","Asfaltado en regular o mal estado","Plano","150115            ","Lima Antigüa","B","A/B",0.877796825886446,"150115            ",-1.31358990440564,26.0624320329459,49,4
"3",80,"Masculino",43,"Desaprueba","Desaprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","Desaprueba","Mala","Igual","Poco informado","Poco interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","La democracia puede funcionar sin partidos políticos","Promover la economía privada de mercado es la única forma en","Si","","","Ollanta Humala","Jorge Del Castillo",NA,NA,NA,"No precisa","Luis Castañeda","Otros","Luis Castañeda","Permanece igual","Permanecerá igual","Permanece igual","Permanecerá igual","Apropiarse de dinero o propiedades públicas","Poco honesto","Muy grave","Mucho más corrupto","Igual","Alan García Pérez (85-90)","Tan corrupto como los otros","","Muy corrupta","","","Muy corrupta","","Muy corrupta","Muy corrupta","",5,"Poco eficiente","Poco eficiente","Poco eficiente","Muy de acuerdo","En desacuerdo","Ambos igual","Todos por igual","Contar con buenas leyes","Prisión efectiva","Confianza","","","","","","","","",NA,NA,"","","","","No","No","Sí","No","No","No","No","Sí","No","No","No","No","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","Robo en cajeros","Robo al paso (de bolso, cartera, celular)","Robo en cajeros","El consumo de drogas","El desempleo",NA,"No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","No precisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Nada eficaz","Bastante eficaz","Nada eficaz","Nada eficaz","Nada eficaz","Nada eficaz","Bastante eficaz","Las autoridades del Estado","Malo","Malo","Malo","Malo","Muy malo","Muy malo","Muy malo","Malo","Malo","Malo","Ni bueno, ni malo","Muy malo","Ninguno","No",NA,"No",NA,NA,4,"Secundaria completa","Independiente / cuenta propia","Obrero eventual","El propio entrevistado",NA,NA,NA,"Water / inodoro",1,"No","Sí","Sí","No","Iguales","Entre 300 y 600","Mestizo","30 a 44","Casa independiente","Medio","Tierra afirmada","Inclinado","150128            ","Lima Antigüa","D","D/E",0.877796825886446,"150128            ",0.49357778522758,52.4721759296558,350,1
"4",116,"Femenino",88,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Desaprueba","Aprueba","Regular","No precisa","Poco informado","Poco interesado","No precisa","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","No precisa","Promover la economía privada de mercado es la única forma en","Si","Derecha","No precisa","Luis Castañeda","Ollanta Humala","Alejandro Toledo",NA,NA,"No precisa","Luis Castañeda","No precisa","Luis Castañeda","Algo peor","Mejorará algo","Permanece igual","Empeorará algo","Participar e incentivar acciones contrarias a la ley para be","Poco honesto","Muy grave","No precisa","No precisa","Otro","Más corrupto que los otros","Muy corrupta","No precisa","No precisa","No precisa","Muy corrupta","No precisa","No precisa","Muy corrupta","No precisa",99,"No precisa","No precisa","No precisa","Muy de acuerdo","Muy de acuerdo","Ambos igual","No precisa","Contar con buenas leyes","Educación en valores en las escuelas y las familias","Tranquilidad","No precisa","No precisa","Muy segura","Muy segura","No precisa","No precisa","Nada Segura","Nada Segura","Nada Segura",NA,"Muy segura",NA,"Muy segura","Nada Segura","Sí","Sí","No","No precisa","No","Sí","Sí","Sí","No","No precisa","No precisa","No precisa","Robo al paso (de bolso, cartera, celular)",NA,NA,"Robo al paso (de bolso, cartera, celular)","No precisa","La pobreza y las desigualdades sociales","El bajo nivel educativo",NA,"No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","No salir sin compañía","Buscar paraderos iluminados y concurridos","Evitar contacto con extraños en la calle",NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Muy eficaz","Muy eficaz","El propio consumidor","Malo","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","Bueno","No precisa","Ni bueno, ni malo","No precisa","No precisa","La persecución del delito","No",NA,"No",NA,NA,5,"Primaria completa","Retirado / jubilado",NA,"Otra persona","Superior universitaria incompleta","Asalariado sector privado","Profesor escolar, profesor no universitario (de academia o i","Water / inodoro",2,"No","Sí","Sí","Sí","Peores","No precisa","No precisa","45 a más","Casa independiente","Medio","Asfaltado en buen estado","Plano","150114            ","Lima Moderna","B","A/B",1.1367580320898,"150114            ",-0.479484577921685,38.2519527850538,156,3
"5",130,"Femenino",66,"Aprueba","No precisa","Desaprueba","Aprueba","Desaprueba","Desaprueba","Desaprueba","Desaprueba","Mala","Peor","Poco informado","Poco interesado","Satisfecho","La democracia es preferible a cualquier otra forma de gobier","La democracia puede funcionar sin congreso o parlamento","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","No",NA,NA,"Lourdes Flores","Alejandro Toledo","Keiko Fujimori","Ollanta Humala",NA,"Lourdes Flores","Luis Castañeda","No precisa","Luis Castañeda","Algo peor","Mejorará algo","Permanece igual","Mejorará algo","Participar e incentivar acciones contrarias a la ley para be","Poco honesto","Muy grave","Algo más corrupto","Igual","Alan García Pérez (85-90)","Menos corrupto que los otros","","","","No precisa","No precisa","","","","",5,"Poco eficiente","Poco eficiente","Poco eficiente","Muy de acuerdo","En desacuerdo","Ricos","Todos por igual","La participación de los ciudadanos en general","Un Poder Judicial más efectivo y menos corrupto","Confianza","","","","","","No precisa","","","",NA,"",NA,"","","Sí","Sí","Sí","No","No","Sí","Sí","Sí","Sí","Sí","No","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Agresión física personal (no sexual)","Secuestros","Agresión física personal (no sexual)","Secuestros","El desempleo","El bajo nivel educativo","La poca eficacia de la Policía","No",NA,NA,"Anotar placa del taxi","Cambiar de rutas con frecuencia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No precisa","Nada eficaz","Muy eficaz","Bastante eficaz","Muy eficaz","Nada eficaz","Poco eficaz","Muy eficaz","La familia","Malo","Ni bueno, ni malo","Ni bueno, ni malo","Bueno","Muy bueno","Bueno","Bueno","Ni bueno, ni malo","Ni bueno, ni malo","Malo","Malo","Malo","La protección de los ciudadanos","No",NA,"No",NA,NA,8,"Secundaria completa","Ama de casa",NA,"Otra persona","Superior técnica completa","Asalariado sector público","Pequeño comerciante con puesto / Microempresario (menos de 5","Water / inodoro",2,"No","Sí","Sí","Sí","Iguales","Entre 300 y 600","Mestizo","45 a más","Casa independiente","Medio","Asfaltado en regular o mal estado","Plano","150120            ","Lima Moderna","C","C",1.1367580320898,"150120            ",0.462549355056342,52.0187299660963,346,1
"6",146,"Femenino",25,"Desaprueba","No precisa","Desaprueba","Aprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Mala","Peor","Medianamente informado","Algo interesado","Insatisfecho","No precisa","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","No",NA,NA,"Keiko Fujimori","Alejandro Toledo",NA,NA,NA,"Keiko Fujimori","Luis Castañeda","No precisa","No precisa","Algo peor","Permanecerá igual","Algo peor","Permanecerá igual","Apropiarse de dinero o propiedades públicas","Muy honesto","Algo grave","Algo más corrupto","No precisa","Alejandro Toledo Manrique (2001-2006)","Tan corrupto como los otros","","","","No precisa","Muy corrupta","","Muy corrupta","Muy corrupta","Muy corrupta",5,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","No precisa","Los políticos","No precisa","Prisión efectiva","Confianza","No precisa","Muy segura","Muy segura","","","","Nada Segura","Nada Segura","Nada Segura",NA,"",NA,NA,"","No","No","No","No","No precisa","Sí","No","Sí","No","No","No","No","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Robo de objetos en su vehículo","Atraco (con violencia o amenaza) y Asaltos con armas","Robo de objetos en su vehículo","El consumo de drogas","El desempleo","La poca eficacia de la Policía","No",NA,NA,"No salir sin compañía","No subir a un bus vacío",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado algo","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Nada eficaz","Bastante eficaz","Bastante eficaz","La familia","Bueno","Ni bueno, ni malo","No precisa","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Bueno","Bueno","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","La protección de los ciudadanos","Sí","Satisfactorio","No",NA,NA,6,"Secundaria completa","Independiente / cuenta propia","Obrero eventual","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","Sí","Iguales","Entre 300 y 600","No precisa","18 a 29","Vivienda en quinta","Popular","No tiene pistas","Plano","150122            ","Lima Moderna","C","C",1.1367580320898,"150122            ",-0.714052604331543,34.8240022194379,114,3
"7",152,"Masculino",42,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Aprueba","Aprueba","Desaprueba","Mala","Peor","Bien informado","Muy interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","No precisa","Si","","Derecha","No precisa","Otros",NA,NA,NA,"No precisa","Luis Castañeda","Otros","Otros","Algo peor","Permanecerá igual","Algo peor","Empeorará algo","Otro","Poco honesto","Muy grave","Igual de corrupto","Igual","Alberto Fujimori Fujimori (90-2001)","Tan corrupto como los otros","Muy corrupta","","No precisa","No precisa","Muy corrupta","","","No precisa","",5,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","Ambos igual","Los burócratas","La participación de los ciudadanos en general","Someterlos a la vergüenza pública","Otro","No precisa","","","","","","Nada Segura","Nada Segura","",NA,"Muy segura","Muy segura","Muy segura","","No","Sí","No","No","No precisa","Sí","Sí","Sí","No","No","No","No","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Agresión física personal (no sexual)","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","El consumo de drogas","El desempleo",NA,"No",NA,NA,"Tener algún arma u objeto defensivo","No subir a un bus vacío",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado algo","Muy eficaz","Muy eficaz","Muy eficaz","Muy eficaz","Nada eficaz","Muy eficaz","Muy eficaz","La familia","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","No precisa","No",NA,"No",NA,NA,7,"Superior universitaria completa","Independiente / cuenta propia","Obrero especializado, mecánico, electricista","El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",3,"No","Sí","Sí","Sí","Peores","No precisa","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Plano","150122            ","Lima Moderna","B","A/B",1.1367580320898,"150122            ",0.968273079155469,59.4093191806805,421,2
"8",201,"Masculino",53,"Desaprueba","Desaprueba","Desaprueba","Aprueba","No precisa","Desaprueba","Desaprueba","Desaprueba","Regular","Peor","Bien informado","Muy interesado","Insatisfecho","A veces un gobierno autoritario o una dictadura es preferibl","La democracia puede funcionar sin congreso o parlamento","La democracia puede funcionar sin partidos políticos","No precisa","Si","","","Luis Castañeda","Otros","Ollanta Humala",NA,NA,"Ollanta Humala","Luis Castañeda","No precisa","Luis Castañeda","Algo mejor","Mejorará algo","Algo mejor","Mejorará algo","Hacer obras públicas en tiempo de campaña","Poco honesto","Muy grave","Igual de corrupto","Igual","Juan Velasco Alvarado (68- 76)","Tan corrupto como los otros","","","","","","","","","",5,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","Ambos igual","Los políticos","No precisa","No precisa","Otro","","No aplica","","","No aplica","No precisa","","","",NA,"",NA,"",NA,"No","No","No","No","No","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Amenazas o intimidaciones","Agresión física personal (no sexual)","Atraco (con violencia o amenaza) y Asaltos con armas","Agresión física personal (no sexual)","El desempleo","El bajo nivel educativo","Las carencias afectivas en el hogar","No",NA,NA,"No precisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado algo","No precisa","No precisa","No precisa","No precisa","Nada eficaz","No precisa","No precisa","Todos","Malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","La protección de los ciudadanos","No",NA,"No",NA,NA,5,"Superior universitaria completa","Retirado / jubilado",NA,"El entrevistado y otra persona en partes iguales",NA,NA,NA,"Water / inodoro",4,"No","Sí","Sí","Sí","Peores","No precisa","Blanco","45 a más","Casa independiente","Medio","Asfaltado en buen estado","Plano","150140            ","Lima Moderna","B","A/B",1.1367580320898,"150140            ",0.343175922533248,50.2742201460663,328,1
"9",203,"Masculino",33,"Desaprueba","Desaprueba","Desaprueba","Aprueba","Aprueba","Desaprueba","No precisa","Aprueba","Regular","Mejor","Medianamente informado","Nada interesado","Insatisfecho","A veces un gobierno autoritario o una dictadura es preferibl","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover la economía privada de mercado es la única forma en","Si","No precisa","No precisa","Ollanta Humala","Lourdes Flores",NA,NA,NA,"Ollanta Humala","Luis Castañeda","No precisa","No precisa","Algo peor","Empeorará algo","Algo peor","Empeorará algo","Apropiarse de dinero o propiedades públicas","Nada honesto","Muy grave","Mucho más corrupto","Mucho mejor","Alan García Pérez (85-90)","Tan corrupto como los otros","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta","Muy corrupta",10,"Nada eficiente","Nada eficiente","Nada eficiente","De acuerdo","En desacuerdo","No precisa","Los políticos","No precisa","Educación en valores en las escuelas y las familias","Garantía","","No precisa","","","No precisa","No precisa","Nada Segura","Nada Segura","",NA,"",NA,"","Nada Segura","No","No","No","No","No","Sí","Sí","Sí","Sí","Sí","Sí","Sí","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Fraude o estafa","Atraco (con violencia o amenaza) y Asaltos con armas","Fraude o estafa","El bajo nivel educativo",NA,NA,"Sí","Robo al paso (de bolso, cartera, celular)","Algo","Verificar que las puertas del auto estén bien cerradas o la ","Cambiar de rutas con frecuencia","Otro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado algo","Bastante eficaz","Bastante eficaz","Bastante eficaz","Bastante eficaz","Poco eficaz","Bastante eficaz","Bastante eficaz","El propio consumidor","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo","No precisa","No",NA,"Sí","Fui abordado sin justificación","Se resolvió satisfactoriamente",3,"Secundaria incompleta","Independiente / cuenta propia","Obrero especializado, mecánico, electricista","El propio entrevistado",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","Sí","Mejores","Entre 601 y 1000","No precisa","30 a 44","Casa independiente","Popular","Tierra afirmada","Plano","150140            ","Lima Moderna","C","C",1.1367580320898,"150140            ",-0.780802398255644,33.8485282925819,106,3
"10",273,"Masculino",40,"Desaprueba","Desaprueba","Desaprueba","Aprueba","No precisa","Desaprueba","Desaprueba","Aprueba","Regular","Igual","Poco informado","Poco interesado","Insatisfecho","La democracia es preferible a cualquier otra forma de gobier","Sin un congreso o parlamento no puede haber democracia","Sin partidos políticos no puede haber democracia","Promover una mayor participación del Estado en la economía e","Si","","","Keiko Fujimori","No precisa",NA,NA,NA,"No precisa","Luis Castañeda","No precisa","Luis Castañeda","Algo peor","Empeorará algo","Mucho peor","Permanecerá igual","Conseguir beneficios particulares aprovechando un cargo públ","Nada honesto","Muy grave","Mucho más corrupto","Algo peor","Alan García Pérez (85-90)","Más corrupto que los otros","Muy corrupta","Muy corrupta","","Muy corrupta","Muy corrupta","","","","",10,"Poco eficiente","Poco eficiente","Poco eficiente","De acuerdo","De acuerdo","Ambos igual","Los políticos","Contar con buenas leyes","Educación en valores en las escuelas y las familias","Confianza","","","","","","","","","",NA,"","","","","No","No","No","No","No precisa","No precisa","No","No","Sí","No","Sí","No","Atraco (con violencia o amenaza) y Asaltos con armas","Robo al paso (de bolso, cartera, celular)","Robo en vivienda o local","Robo en vivienda o local","Atraco (con violencia o amenaza) y Asaltos con armas","La pobreza y las desigualdades sociales","El desempleo","El bajo nivel educativo","No",NA,NA,"No llevar mucho dinero consigo ni objetos de valor","Buscar paraderos iluminados y concurridos","Evitar los estacionamientos oscuros y mal vigilados",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha aumentado mucho","Bastante eficaz","Bastante eficaz","Bastante eficaz","Muy eficaz","Muy eficaz","Bastante eficaz","Bastante eficaz","La familia","Ni bueno, ni malo","Ni bueno, ni malo","Bueno","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Malo","Ninguno","No",NA,"No",NA,NA,5,"Superior técnica completa","Asalariado sector privado","Obrero especializado, mecánico, electricista","El propio entrevistado",NA,NA,NA,"Water / inodoro",2,"No","Sí","Sí","No","Iguales","Entre 300 y 600","Mestizo","30 a 44","Casa independiente","Medio","Asfaltado en buen estado","Muy inclinado","150110            ","Lima Norte","C","C",0.968266199830047,"150110            ",-0.47864160148152,38.2642719472563,157,3
